feature,importance
cat__destination_airport_SWJN,0.0019191712
cat__origin_airport_SLCB,0.0019073648
cat__destination_airport_SBSL,0.0019031519
cat__origin_airport_SBCF,0.0018986851
cat__destination_airport_SBMA,0.0018891607
cat__origin_airport_SLVR,0.0018478682
cat__origin_airport_SBPS,0.0018158645
cat__airline_LTG,0.0018013632
cat__origin_airport_SBDN,0.0017757121
cat__destination_airport_SBRB,0.0017714178
cat__origin_airport_SBSR,0.0017556685
cat__airline_KAL,0.0017343438
cat__destination_airport_KDFW,0.0017244963
cat__origin_airport_SBKG,0.0017220641
cat__destination_airport_OTHH,0.0016654806
cat__destination_airport_SBCO,0.0016587292
cat__destination_airport_SBCT,0.0016390197
cat__destination_airport_SBTE,0.0016211589
cat__origin_airport_KCVG,0.0016113279
cat__airline_ACN,0.0016051962
cat__origin_airport_FNLU,0.0015990962
cat__airline_FDX,0.0015835405
cat__origin_airport_SNVS,0.0015827223
cat__destination_airport_KBOS,0.0015793561
cat__origin_airport_MDSD,0.0015695535
cat__origin_airport_SBUG,0.001566233
cat__origin_airport_EDDF,0.001552847
cat__origin_airport_SBMS,0.0015451951
cat__destination_airport_SBFI,0.001541148
cat__origin_airport_SBJR,0.0015090245
cat__origin_airport_SNGN,0.0014901799
cat__destination_airport_FNLU,0.0014525618
bin__is_post_holiday,0.0014467718
cat__airline_MPH,0.0014457502
cat__destination_airport_SEQM,0.0014387857
cat__origin_airport_SWJN,0.0014149521
cat__destination_airport_SBNM,0.001403004
cat__airline_TAP,0.0013993051
cat__origin_airport_KMEM,0.0013978782
cat__origin_airport_KDFW,0.0013893532
cat__destination_airport_SNDV,0.0013616603
cat__destination_airport_SBSN,0.0013497154
cat__airline_LAP,0.001323072
cat__origin_airport_SBJU,0.0013220493
cat__destination_airport_SBUG,0.0012930192
cat__origin_airport_SBJA,0.0012877606
cat__destination_airport_MMMX,0.0012833001
cat__origin_airport_OMDB,0.0012796257
cat__destination_airport_SBPA,0.0012680307
cat__origin_airport_SBAU,0.0012571639
cat__origin_airport_SBDB,0.0012526308
cat__origin_airport_SBMQ,0.0012284864
cat__origin_airport_SBBG,0.0012234914
cat__airline_MWM,0.0012131567
cat__destination_airport_FACT,0.0011912574
cat__origin_airport_SSGY,0.001183743
cat__origin_airport_TNCC,0.0011770629
cat__origin_airport_SBPB,0.0011647954
cat__destination_airport_SASA,0.001154399
cat__destination_airport_SBPV,0.0011448683
cat__origin_airport_SBCP,0.0011436491
cat__destination_airport_EHAM,0.0011331014
cat__destination_airport_SNSS,0.0011286844
cat__origin_airport_SWBR,0.0011231522
cat__destination_airport_SBSJ,0.0010917868
cat__origin_airport_EBBR,0.0010878567
cat__origin_airport_SBPP,0.0010868463
